category,question,answer
Project,What technologies did you use,"I used React, FastAPI, FAISS, Sentence Transformers, Docker, and Python."
Project,What is the frontend of your project,The frontend is built using ReactJS for interactive user interfaces.
Project,What is the backend of your project,The backend is built using FastAPI for handling API requests efficiently.
Project,Which database did you use,The project uses CSV datasets and FAISS vector storage for retrieval.
Project,Why did you choose FastAPI,"FastAPI provides high performance, easy API development, and asynchronous support."
Project,Why did you choose React,React provides reusable components and efficient UI rendering.
Project,What is FAISS,FAISS is a vector similarity search library developed by Facebook AI.
Project,What is Sentence Transformer,Sentence Transformer converts text into embeddings for semantic similarity.
Project,How does your chatbot work,The chatbot converts user queries into embeddings and retrieves similar questions from the dataset.
Project,What is semantic search,Semantic search retrieves results based on meaning instead of exact keyword matching.
Project,What challenges did you face,Dataset quality and retrieval accuracy were major challenges during development.
Project,How did you improve retrieval accuracy,I improved retrieval accuracy using clean datasets and embedding based search.
Project,How did you remove duplicate questions,I used preprocessing scripts to remove repeated dataset entries.
Project,What is vector embedding,Vector embedding is a numerical representation of text in multidimensional space.
Project,What is retrieval augmented generation,RAG combines retrieval systems with language models for better responses.
Project,What is MLOps,"MLOps manages machine learning deployment, monitoring, and automation."
Project,How is Docker used in your project,Docker is used for containerizing machine learning environments.
Project,What is CI CD pipeline,"CI/CD automates testing, integration, and deployment processes."
Project,Why did you use GitHub,GitHub is used for version control and collaboration.
Project,What is DVC,DVC manages datasets and machine learning experiment versions.
Project,What is JWT authentication,JWT authentication securely verifies users using tokens.
Project,What is cloud deployment,Cloud deployment hosts applications on remote servers.
Project,Why did you choose Vercel,Vercel simplifies frontend deployment and hosting.
Project,Why did you choose EC2,EC2 provides scalable cloud computing resources.
Project,What is API integration,API integration allows communication between frontend and backend systems.
Project,What is REST API,REST API enables communication using HTTP methods.
Project,What is scalability,Scalability is the ability of systems to handle increasing workloads.
Project,How did you test your project,"I tested APIs, frontend interactions, and retrieval outputs."
Project,What is responsive design,Responsive design adapts UI across different screen sizes.
Project,How did you optimize performance,I optimized performance using efficient retrieval and lightweight APIs.
Project,What are embeddings used for,Embeddings are used for semantic similarity and retrieval.
Project,What is machine learning pipeline,"Machine learning pipeline automates preprocessing, training, and deployment."
Project,What is model deployment,Model deployment makes trained models accessible to users.
Project,How did you preprocess the dataset,I cleaned duplicates and standardized dataset formatting.
Project,What is tokenization,Tokenization splits text into smaller meaningful units.
Project,What are the future improvements,Future improvements include voice support and advanced AI models.
Project,What is chatbot architecture,"Chatbot architecture defines communication between frontend, backend, and models."
Project,How does frontend communicate with backend,Frontend communicates using HTTP API requests.
Project,What are the advantages of your project,The project provides faster interview preparation and organized learning.
Project,What are the limitations of your project,The project depends heavily on dataset quality.
Project,How can your project be scaled,The project can be scaled using cloud services and distributed systems.
Project,Why is dataset quality important,High quality datasets improve retrieval accuracy and response relevance.
Project,What is vector database,Vector databases store embeddings for similarity search.
Project,What is inference,Inference is the process of generating outputs using trained models.
Project,How does AI help in placements,AI helps students by providing personalized learning and interview preparation.
Project,What did you learn from this project,"I learned frontend development, backend APIs, semantic search, and MLOps concepts."
AI,What is Artificial Intelligence,Artificial Intelligence is the simulation of human intelligence in machines.
AI,What are the types of AI,"The types of AI include narrow AI, general AI, and super AI."
AI,What is narrow AI,Narrow AI performs specific tasks intelligently.
AI,What is general AI,General AI can perform any intellectual task similar to humans.
AI,What is super AI,Super AI refers to intelligence surpassing human capabilities.
AI,What is machine learning,Machine learning enables systems to learn from data automatically.
AI,What is deep learning,Deep learning uses neural networks with multiple layers.
AI,What is neural network,A neural network is a computational model inspired by the human brain.
AI,What is supervised learning,Supervised learning trains models using labeled data.
AI,What is unsupervised learning,Unsupervised learning identifies patterns in unlabeled data.
AI,What is reinforcement learning,Reinforcement learning learns through rewards and penalties.
AI,What is training data,Training data is used to train machine learning models.
AI,What is testing data,Testing data evaluates model performance.
AI,What is validation data,Validation data tunes model parameters during training.
AI,What is overfitting,Overfitting occurs when a model memorizes training data.
AI,What is underfitting,Underfitting occurs when a model fails to learn patterns.
AI,What is bias in AI,Bias refers to systematic errors in predictions.
AI,What is variance in AI,Variance measures sensitivity to training data.
AI,What is accuracy,Accuracy measures correct predictions made by a model.
AI,What is precision,Precision measures correctly predicted positive observations.
AI,What is recall,Recall measures the ability to identify actual positives.
AI,What is F1 score,F1 score balances precision and recall.
AI,What is confusion matrix,Confusion matrix evaluates classification performance.
AI,What is feature engineering,Feature engineering creates useful input variables from raw data.
AI,What is feature selection,Feature selection chooses important features for training.
AI,What is dimensionality reduction,Dimensionality reduction reduces input variables while preserving information.
AI,What is PCA,PCA reduces dimensions using principal components.
AI,What is clustering,Clustering groups similar data points together.
AI,What is classification,Classification predicts categorical outputs.
AI,What is regression,Regression predicts continuous values.
AI,What is KNN,KNN classifies data based on nearest neighbors.
AI,What is decision tree,Decision tree predicts outputs using hierarchical conditions.
AI,What is random forest,Random forest combines multiple decision trees.
AI,What is support vector machine,SVM separates data using optimal hyperplanes.
AI,What is Naive Bayes,Naive Bayes is a probabilistic classification algorithm.
AI,What is gradient descent,Gradient descent minimizes loss functions during training.
AI,What is loss function,Loss function measures prediction errors.
AI,What is activation function,Activation function determines neuron outputs.
AI,What is sigmoid function,Sigmoid maps values between 0 and 1.
AI,What is ReLU,ReLU outputs positive values and zeros negative values.
AI,What is softmax,Softmax converts outputs into probabilities.
AI,What is epoch,Epoch represents one complete training cycle.
AI,What is batch size,Batch size defines samples processed together.
AI,What is hyperparameter,Hyperparameters control model training behavior.
AI,What is transfer learning,Transfer learning reuses pretrained models.
AI,What is NLP,NLP enables machines to understand human language.
AI,What is computer vision,Computer vision enables machines to interpret images and videos.
AI,What is chatbot,A chatbot interacts with users using natural language.
AI,What is generative AI,Generative AI creates new content such as text and images.
AI,What is prompt engineering,Prompt engineering designs effective prompts for AI models.
ML,What is Machine Learning,Machine Learning enables systems to learn patterns from data automatically.
ML,What are types of machine learning,"The main types are supervised, unsupervised, and reinforcement learning."
ML,What is K Means clustering,K Means divides data into clusters using centroids.
ML,What is linear regression,Linear regression predicts outputs using linear relationships.
ML,What is logistic regression,Logistic regression is used for binary classification.
ML,What is train test split,Train test split divides data for training and evaluation.
ML,What is cross validation,Cross validation evaluates models using multiple data splits.
ML,What is standardization,Standardization transforms data with zero mean and unit variance.
ML,What is ROC curve,ROC curve evaluates classification performance.
ML,What is AUC,AUC measures area under ROC curve.
ML,What is learning rate,Learning rate controls optimization step size.
ML,What is bias,Bias measures model assumptions and errors.
ML,What is variance,Variance measures sensitivity to training data.
ML,What is ensemble learning,Ensemble learning combines multiple models.
ML,What is bagging,Bagging trains models independently and combines outputs.
ML,What is boosting,Boosting improves weak models sequentially.
ML,What is XGBoost,XGBoost is an optimized boosting algorithm.
ML,What is data preprocessing,Data preprocessing cleans and prepares raw data.
ML,What is missing value handling,Missing value handling manages incomplete data.
ML,What is one hot encoding,One hot encoding converts categorical variables into binary vectors.
ML,What is label encoding,Label encoding converts categories into numerical labels.
ML,What is hyperparameter tuning,Hyperparameter tuning optimizes model performance.
ML,What is GridSearchCV,GridSearchCV searches optimal hyperparameters systematically.
ML,What is pipeline in machine learning,Pipeline automates preprocessing and model training steps.
ML,What is model evaluation,Model evaluation measures prediction performance.
DL,What is Deep Learning,Deep Learning is a subset of machine learning using neural networks with multiple layers.
DL,What is artificial neuron,An artificial neuron processes inputs and produces outputs.
DL,What is perceptron,Perceptron is the simplest type of neural network.
DL,What is tanh function,Tanh maps values between -1 and 1.
DL,What is forward propagation,Forward propagation calculates outputs through network layers.
DL,What is backpropagation,Backpropagation updates weights using error gradients.
DL,What is optimizer,Optimizer updates neural network weights efficiently.
DL,What is Adam optimizer,Adam optimizer combines momentum and adaptive learning rates.
DL,What is SGD,SGD updates weights using small batches of data.
DL,What is mean squared error,MSE calculates average squared prediction errors.
DL,What is categorical cross entropy,Categorical cross entropy is used for multi class classification.
DL,What is dropout,Dropout randomly disables neurons to reduce overfitting.
DL,What is regularization,Regularization prevents overfitting by penalizing complexity.
DL,What is CNN,CNN is a neural network specialized for image processing.
DL,What is convolution layer,Convolution layer extracts image features.
DL,What is pooling layer,Pooling layer reduces feature dimensions.
DL,What is max pooling,Max pooling selects maximum values from feature regions.
DL,What is flattening,Flattening converts multidimensional data into vectors.
DL,What is RNN,RNN processes sequential data using recurrent connections.
DL,What is LSTM,LSTM handles long term dependencies in sequences.
DL,What is GRU,GRU is a simplified recurrent neural network.
DL,What is transformer model,Transformer models use attention mechanisms for sequence processing.
DL,What is attention mechanism,Attention focuses on important parts of input data.
DL,What is self attention,Self attention analyzes relationships within sequences.
DL,What is embedding,Embedding converts data into dense vector representations.
DL,What is pretrained model,Pretrained models are trained on large datasets beforehand.
DL,What is fine tuning,Fine tuning adapts pretrained models for specific tasks.
DL,What is image classification,Image classification predicts categories of images.
DL,What is object detection,Object detection identifies and locates objects in images.
DL,What is image segmentation,Image segmentation divides images into meaningful regions.
DL,What is BERT,BERT is a transformer model for language understanding.
DL,What is GPT,GPT is a transformer model for text generation.
